Paper No.,D,A SMILES,VOC (V),JSC (mA/cm2),FF (%),PCE max (%),Num. atoms (electron-rich unit),Num. atoms (electron-deficient unit),Num. heteroatoms (electron-rich unit),Num. heteroatoms (electron-deficient unit),Proportion of heteroatoms (electron-rich unit),Proportion of heteroatoms (electron-deficient unit),Num. rings (electron-rich unit),Num. rings (electron-deficient unit),Total num. rings,Num. S atoms (electron-rich unit),Proportion of S atoms (electron-rich unit)
23,PTB7-Th:SR197(0.95:0.05),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.805,18.13,64.54,9.42,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-Th:SR197(0.8:0.2),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.798,17.64,67.47,9.5,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-Th:SR197(0.85:0.15),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.803,18.09,66.84,9.71,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PBDB-T,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.887,17.04,64.36,9.73,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-T:SR197(0.9:0.1),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.862,17.56,67,10.15,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-Th:SR197(0.9:0.1),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.801,19.13,67.09,10.29,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-T:SR197(0.92:0.08),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.878,17.74,66.47,10.35,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-T:SR197(0.97:0.03),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.885,17.73,66.83,10.48,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
23,PTB7-T:SR197(0.95:0.05),O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)=C(S4)C8=C5C=C(C(SC9=C%10SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C9)=C%10C%13(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%13=C8,0.875,18.59,67.79,11.03,34,22,4,3,0.117647059,0.136363636,7,2,15,4,0.117647059
24,SM-Cl,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.972,12.61,63.08,7.73,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
24,SM:SM-CI(0.2:0.8),O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.961,13.19,63.21,8.02,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
24,SM:SM-CI(0.4:0.6),O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.949,14,63.92,8.49,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
24,SM:SM-CI(0.6:0.4),O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.94,14.52,65.68,8.96,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
24,SM,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.911,15.18,67.85,9.39,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
24,SM:SM-CI(0.8:0.2),O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.926,15.28,66.74,9.45,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
24,SM:SM-CI(0.9:0.1),O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C=C(C(SC(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)\C#N)=C%10)=C%10C%11(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%11=C7)=C(C#N)/C#N,0.921,16.05,69.58,10.29,28,22,2,3,0.071428571,0.136363636,5,2,13,2,0.071428571
