Paper No.,PCE max (%),VOC (V),JSC (mA/cm2),FF (%),"For VOC, JSC and FF, when only average values were available instead of actual values of the best devices, the average values were listed. These data were mainly obtained from tables and the main text of articles. Some data were from the supplymentary materials."
170,11.51,0.9,18.34,69.87,
170,10.85,0.9,18.03,66.86,
172,9.11,0.94,16.69,58.07,
172,8.42,0.88,14.96,63.95,
172,6.12,0.99,12.09,51.14,
173,5.26,0.9,11.58,50.45,
173,3.89,0.95,9.13,44.85,
174,13.2,0.88,20.32,73.5,
174,10.1,0.72,19.6,71.4,
177,3.26,0.78,10.28,41.14,
177,2.89,0.78,9.37,40.01,
177,2.58,0.77,9.09,36.83,
177,2.55,0.77,8.95,36.94,
177,2.31,0.75,8.76,35.2,
177,1.88,0.73,8.69,29.61,
177,2.52,0.77,8.48,38.61,
184,10.01,0.938,15.68,68.03,
184,10.01,0.938,15.68,68.03,
184,10.02,0.943,15.16,70.07,
184,8.11,0.929,13.49,64.63,
184,6.78,0.948,13.15,54.37,
184,8.27,0.94,13.08,67.23,
184,7.36,0.961,12.68,60.39,
184,5.31,0.916,12.17,47.66,
184,5.52,0.946,11.43,51.05,
185,8.73,0.74,21.44,55,
185,8.18,0.89,15.31,60,
185,8.62,0.89,16.69,58,
185,8.95,0.89,17.04,59,
185,9.1,0.87,18,58,
185,9.8,0.87,19.09,59,
185,8.38,0.85,20.11,49,
186,10.43,0.89,19.8,59.05,
187,13.1,0.83,24.68,63.74,
187,12.02,0.78,24.64,62.22,
187,8.61,0.66,23.41,55.3,
191,10.5,1.24,13.16,66.62,
191,9.41,1.07,14.62,60.34,
197,7.8,0.917,12.9,60.2,
197,8.2,0.89,14.4,65,
197,8.6,0.831,14.5,71.1,
197,5.7,0.684,14.5,57.5,
197,6.2,0.718,14.3,60.2,
197,7.5,0.88,13.4,63.9,
199,10.57,0.77,22.02,62.3,
199,9.63,0.77,20.68,60.5,
199,10.2,0.81,19.19,65.6,
199,9.3,0.81,18.36,62.6,
199,8.92,0.88,17.18,58.9,
199,7.19,0.89,14.09,57.4,
202,5.82,0.9,10.37,63.81,
202,8.82,0.87,16.9,60.31,
202,9.09,0.86,16.84,62.85,
202,9.01,0.86,16.25,64.49,
202,7.91,0.88,15.71,57.17,
202,7.95,0.88,15.5,58.26,
202,7.53,0.87,14.43,60.58,
202,5.7,0.92,11.47,53.89,
202,5.93,0.91,11.45,56.91,
202,2.09,0.87,5.16,46.61,
202,1.98,0.92,4.25,50.58,
202,2.12,0.9,4.12,56.8,
205,8.8,0.85,16.02,64,
205,5,0.96,10.45,50,
214,4.58,0.88,9.64,52.72,
214,5.64,0.878,10.88,59.04,
214,5.01,0.891,9.73,57.79,
214,3.45,0.879,9.13,43.02,
215,7.06,0.95,13.05,57,
215,3.49,0.88,9.04,44,
215,0.75,0.92,2.31,35,
221,10.89,0.82,18.92,70.22,
221,9.61,0.94,16.44,62,
231,6.9,0.9,14.6,52.5,
231,6.4,0.9,14.5,48.9,
231,6.7,0.9,14.4,51.9,
231,6.5,0.9,14.3,50.6,
231,5.8,0.92,13.3,47.2,
231,6.2,0.96,12.1,53.1,
231,5.7,0.96,11.2,52.9,
231,5.3,0.98,10.5,51.4,
231,4.2,0.8,10.5,49.6,
236,2.3,0.54,14.73,28.92,
236,11.6,0.72,23.21,69.41,
237,6.11,0.77,14.28,54.41,
237,7.06,0.79,15.02,59.58,
240,7.8,1.01,14.6,53,
240,5.1,1.02,12.6,40,
242,9.53,0.88,15.59,69.45,
242,9.27,0.88,15.48,68.11,
